comparison_id,family,current_model,candidate_model,status,path_interpretation,review_priority,risk_flags,n_items,current_accuracy_pct,candidate_accuracy_pct,accuracy_delta_pct,improvement_mass_pct,regression_mass_pct,churn_mass_pct,error_persistence_pct,correction_rate_pct,normalized_regression_burden_pct,net_gain_per_changed_item,improvement_to_regression_ratio,top_improving_categories,top_regressing_categories
Qwen3.5-2B -> Qwen3-4B-Instruct-2507,qwen,Qwen3.5-2B,Qwen3-4B-Instruct-2507,positive_delta_candidate,larger; chronology unclear,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden; near_parity_churn,3008,46.908,48.238,1.33,15.226,13.896,29.122,71.321,28.679,26.174,0.045662,1.095695,other:+0.113; philosophy:+0.087; math:+0.075; business:+0.059; engineering:+0.044,biology:-0.150; psychology:-0.097; law:-0.061; economics:-0.040; computer science:+0.000
Qwen3-0.6B -> Qwen3.5-0.8B,qwen,Qwen3-0.6B,Qwen3.5-0.8B,positive_delta_candidate,newer+larger,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,27.992,33.045,5.053,16.955,11.902,28.856,76.454,23.546,16.528,0.175115,1.424582,biology:+0.206; economics:+0.114; computer science:+0.104; chemistry:+0.083; psychology:+0.078,engineering:-0.028; math:-0.018; history:+0.010; business:+0.011; physics:+0.015
Qwen2-0.5B-Instruct -> Qwen2.5-0.5B-Instruct,qwen,Qwen2-0.5B-Instruct,Qwen2.5-0.5B-Instruct,positive_delta_candidate,newer,manual_review_required,high_regression_mass; high_normalized_regression_burden; near_parity_churn,3008,12.999,16.456,3.457,12.566,9.109,21.675,85.556,14.444,10.47,0.159507,1.37957,business:+0.090; biology:+0.089; other:+0.087; math:+0.051; chemistry:+0.040,health:-0.045; law:-0.030; philosophy:+0.024; psychology:+0.024; engineering:+0.028
Gemma-3-270M-Instruct -> Gemma-3-1B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-3-1B-Instruct,positive_delta_candidate,same-gen larger,manual_review_required,high_regression_mass; near_parity_churn,3008,10.439,11.769,1.33,9.674,8.344,18.019,89.198,10.802,9.317,0.073802,1.159364,economics:+0.064; biology:+0.061; psychology:+0.049; engineering:+0.044; philosophy:+0.016,computer science:-0.038; history:-0.030; business:-0.027; chemistry:-0.003; math:-0.003
Qwen2-0.5B-Instruct -> Qwen3-4B-Instruct-2507,qwen,Qwen2-0.5B-Instruct,Qwen3-4B-Instruct-2507,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,12.999,48.238,35.239,41.157,5.918,47.075,52.694,47.306,6.802,0.748586,6.954999,business:+0.537; math:+0.484; economics:+0.441; physics:+0.414; chemistry:+0.407,law:+0.038; history:+0.182; engineering:+0.185; health:+0.283; psychology:+0.359
Qwen2-0.5B-Instruct -> Qwen3.5-2B,qwen,Qwen2-0.5B-Instruct,Qwen3.5-2B,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,12.999,46.908,33.91,39.794,5.884,45.678,54.261,45.739,6.764,0.742356,6.762725,biology:+0.544; economics:+0.480; business:+0.479; psychology:+0.456; math:+0.409,law:+0.099; engineering:+0.141; history:+0.141; health:+0.253; philosophy:+0.278
Qwen2.5-0.5B-Instruct -> Qwen3-4B-Instruct-2507,qwen,Qwen2.5-0.5B-Instruct,Qwen3-4B-Instruct-2507,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,16.456,48.238,31.782,38.331,6.549,44.88,54.119,45.881,7.839,0.708148,5.852791,business:+0.447; math:+0.433; economics:+0.411; physics:+0.380; chemistry:+0.368,law:+0.068; history:+0.152; engineering:+0.157; other:+0.304; biology:+0.306
Qwen2-0.5B-Instruct -> Qwen2.5-3B-Instruct,qwen,Qwen2-0.5B-Instruct,Qwen2.5-3B-Instruct,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,12.999,44.215,31.217,37.168,5.951,43.118,57.279,42.721,6.84,0.723976,6.245816,business:+0.463; biology:+0.461; math:+0.409; economics:+0.406; psychology:+0.359,law:+0.068; engineering:+0.161; philosophy:+0.175; history:+0.192; computer science:+0.245
Qwen2.5-0.5B-Instruct -> Qwen3.5-2B,qwen,Qwen2.5-0.5B-Instruct,Qwen3.5-2B,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,16.456,46.908,30.452,36.503,6.051,42.553,56.307,43.693,7.242,0.715624,6.033006,biology:+0.456; economics:+0.450; psychology:+0.432; business:+0.388; physics:+0.361,history:+0.111; engineering:+0.112; law:+0.129; other:+0.191; philosophy:+0.254
Qwen2.5-0.5B-Instruct -> Qwen2.5-3B-Instruct,qwen,Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,positive_delta_candidate,same-gen larger,manual_review_recommended,high_churn,3008,16.456,44.215,27.759,34.043,6.283,40.326,59.252,40.748,7.521,0.688376,5.418035,health:+0.384; economics:+0.376; business:+0.372; biology:+0.372; math:+0.358,law:+0.099; engineering:+0.133; philosophy:+0.151; history:+0.162; computer science:+0.208
Gemma-3-270M-Instruct -> Gemma-2-2B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-2-2B-Instruct,positive_delta_candidate,larger; chronology unclear,manual_review_recommended,high_churn,3008,10.439,31.682,21.243,28.391,7.148,35.539,68.3,31.7,7.981,0.597756,3.972103,biology:+0.461; economics:+0.366; psychology:+0.350; chemistry:+0.222; physics:+0.219,engineering:+0.080; history:+0.081; law:+0.118; philosophy:+0.127; computer science:+0.170
Qwen3-0.6B -> Qwen3-4B-Instruct-2507,qwen,Qwen3-0.6B,Qwen3-4B-Instruct-2507,positive_delta_candidate,same-gen larger,manual_review_recommended,high_churn,3008,27.992,48.238,20.246,27.36,7.114,34.475,62.004,37.996,9.88,0.58727,3.845778,philosophy:+0.325; economics:+0.277; other:+0.274; computer science:+0.245; chemistry:+0.235,law:+0.068; engineering:+0.072; history:+0.141; psychology:+0.184; physics:+0.198
Qwen2-0.5B-Instruct -> Qwen3.5-0.8B,qwen,Qwen2-0.5B-Instruct,Qwen3.5-0.8B,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,12.999,33.045,20.047,27.128,7.081,34.209,68.819,31.181,8.139,0.586004,3.831001,biology:+0.372; business:+0.319; economics:+0.277; chemistry:+0.255; psychology:+0.252,law:+0.027; history:+0.051; engineering:+0.084; philosophy:+0.111; other:+0.148
Gemma-3-1B-Instruct -> Gemma-2-2B-Instruct,gemma,Gemma-3-1B-Instruct,Gemma-2-2B-Instruct,positive_delta_candidate,larger; chronology unclear,manual_review_recommended,high_churn,3008,11.769,31.682,19.914,26.862,6.948,33.81,69.555,30.445,7.875,0.588989,3.86605,biology:+0.400; economics:+0.302; psychology:+0.301; chemistry:+0.225; business:+0.218,engineering:+0.036; law:+0.110; history:+0.111; philosophy:+0.111; other:+0.165
Qwen2-0.5B-Instruct -> Qwen3-0.6B,qwen,Qwen2-0.5B-Instruct,Qwen3-0.6B,positive_delta_candidate,newer+larger,manual_review_recommended,high_churn,3008,12.999,27.992,14.993,22.573,7.58,30.153,74.054,25.946,8.712,0.497242,2.97806,business:+0.309; math:+0.257; physics:+0.216; psychology:+0.175; chemistry:+0.172,law:-0.030; philosophy:+0.040; history:+0.040; health:+0.081; engineering:+0.112
Gemma-3-270M-Instruct -> Gemma-3-1B-it,gemma,Gemma-3-270M-Instruct,Gemma-3-1B-it,positive_delta_candidate,same-gen larger,manual_review_recommended,high_regression_mass,3008,10.439,17.52,7.081,15.559,8.477,24.036,82.628,17.372,9.466,0.294605,1.835291,biology:+0.244; psychology:+0.170; economics:+0.168; other:+0.109; computer science:+0.047,business:+0.011; math:+0.030; engineering:+0.032; physics:+0.034; chemistry:+0.036
Gemma-3-1B-Instruct -> Gemma-3-1B-it,gemma,Gemma-3-1B-Instruct,Gemma-3-1B-it,positive_delta_candidate,same-size variant,routine_monitoring,no_default_flag,3008,11.769,17.52,5.751,13.464,7.713,21.177,84.74,15.26,8.742,0.271584,1.745683,biology:+0.183; psychology:+0.121; economics:+0.104; other:+0.096; computer science:+0.085,engineering:-0.012; philosophy:+0.024; physics:+0.028; math:+0.033; law:+0.034
