comparison_id,family,old_model,new_model,old_generation,new_generation,old_parameter_b,new_parameter_b,old_boundary_role,new_boundary_role,n_common,old_accuracy,new_accuracy,accuracy_delta,accuracy_delta_ci95_low,accuracy_delta_ci95_high,old_error_count,new_error_count,persistent_error_count,improvement_count,regression_count,improvement_mass,regression_mass,error_jaccard,error_redistribution_index,shifted_error_mass,mcnemar_exact_p,top_improving_categories,top_regressing_categories
Qwen2-0.5B-Instruct -> Qwen2.5-0.5B-Instruct,qwen,Qwen2-0.5B-Instruct,Qwen2.5-0.5B-Instruct,qwen2,qwen2.5,0.5,0.5,strict_sub_4b,strict_sub_4b,3008,0.129987,0.164561,0.034574,0.018285,0.052194,2617,2513,2239,378,274,0.125665,0.09109,0.774473,0.225527,0.216755,5.306e-05,business:+0.090; biology:+0.089; other:+0.087; math:+0.051; chemistry:+0.040,health:-0.045; law:-0.030; philosophy:+0.024; psychology:+0.024; engineering:+0.028
Qwen2-0.5B-Instruct -> Qwen3-0.6B,qwen,Qwen2-0.5B-Instruct,Qwen3-0.6B,qwen2,qwen3,0.5,0.6,strict_sub_4b,strict_sub_4b,3008,0.129987,0.27992,0.149933,0.130984,0.167553,2617,2166,1938,679,228,0.225731,0.075798,0.681195,0.318805,0.301529,0.0,business:+0.309; math:+0.257; physics:+0.216; psychology:+0.175; chemistry:+0.172,law:-0.030; philosophy:+0.040; history:+0.040; health:+0.081; engineering:+0.112
Qwen2.5-0.5B-Instruct -> Qwen3-0.6B,qwen,Qwen2.5-0.5B-Instruct,Qwen3-0.6B,qwen2.5,qwen3,0.5,0.6,strict_sub_4b,strict_sub_4b,3008,0.164561,0.27992,0.115359,0.09508,0.134309,2513,2166,1886,627,280,0.208444,0.093085,0.67526,0.32474,0.301529,0.0,business:+0.218; math:+0.206; physics:+0.182; psychology:+0.150; economics:+0.134,law:+0.000; history:+0.010; philosophy:+0.016; other:+0.030; biology:+0.078
Qwen2-0.5B-Instruct -> Qwen3.5-0.8B,qwen,Qwen2-0.5B-Instruct,Qwen3.5-0.8B,qwen2,qwen3.5,0.5,0.8,strict_sub_4b,strict_sub_4b,3008,0.129987,0.330452,0.200465,0.179854,0.220745,2617,2014,1801,816,213,0.271277,0.070811,0.636396,0.363604,0.342088,0.0,biology:+0.372; business:+0.319; economics:+0.277; chemistry:+0.255; psychology:+0.252,law:+0.027; history:+0.051; engineering:+0.084; philosophy:+0.111; other:+0.148
Qwen2.5-0.5B-Instruct -> Qwen3.5-0.8B,qwen,Qwen2.5-0.5B-Instruct,Qwen3.5-0.8B,qwen2.5,qwen3.5,0.5,0.8,strict_sub_4b,strict_sub_4b,3008,0.164561,0.330452,0.165891,0.145612,0.186835,2513,2014,1749,764,265,0.253989,0.088098,0.62959,0.37041,0.342088,0.0,biology:+0.283; economics:+0.248; business:+0.229; psychology:+0.228; chemistry:+0.215,history:+0.020; engineering:+0.056; law:+0.057; other:+0.061; philosophy:+0.087
Qwen2-0.5B-Instruct -> Qwen3.5-2B,qwen,Qwen2-0.5B-Instruct,Qwen3.5-2B,qwen2,qwen3.5,0.5,2.0,strict_sub_4b,strict_sub_4b,3008,0.129987,0.469082,0.339095,0.317487,0.361037,2617,1597,1420,1197,177,0.397939,0.058843,0.508232,0.491768,0.456782,0.0,biology:+0.544; economics:+0.480; business:+0.479; psychology:+0.456; math:+0.409,law:+0.099; engineering:+0.141; history:+0.141; health:+0.253; philosophy:+0.278
Qwen2.5-0.5B-Instruct -> Qwen3.5-2B,qwen,Qwen2.5-0.5B-Instruct,Qwen3.5-2B,qwen2.5,qwen3.5,0.5,2.0,strict_sub_4b,strict_sub_4b,3008,0.164561,0.469082,0.304521,0.282912,0.325798,2513,1597,1415,1098,182,0.365027,0.060505,0.525046,0.474954,0.425532,0.0,biology:+0.456; economics:+0.450; psychology:+0.432; business:+0.388; physics:+0.361,history:+0.111; engineering:+0.112; law:+0.129; other:+0.191; philosophy:+0.254
Qwen2-0.5B-Instruct -> Qwen2.5-3B-Instruct,qwen,Qwen2-0.5B-Instruct,Qwen2.5-3B-Instruct,qwen2,qwen2.5,0.5,3.0,strict_sub_4b,strict_sub_4b,3008,0.129987,0.442154,0.312167,0.290891,0.333444,2617,1678,1499,1118,179,0.371676,0.059508,0.536123,0.463877,0.431184,0.0,business:+0.463; biology:+0.461; math:+0.409; economics:+0.406; psychology:+0.359,law:+0.068; engineering:+0.161; philosophy:+0.175; history:+0.192; computer science:+0.245
Qwen2.5-0.5B-Instruct -> Qwen2.5-3B-Instruct,qwen,Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,qwen2.5,qwen2.5,0.5,3.0,strict_sub_4b,strict_sub_4b,3008,0.164561,0.442154,0.277593,0.255984,0.298537,2513,1678,1489,1024,189,0.340426,0.062832,0.551073,0.448927,0.403258,0.0,health:+0.384; economics:+0.376; business:+0.372; biology:+0.372; math:+0.358,law:+0.099; engineering:+0.133; philosophy:+0.151; history:+0.162; computer science:+0.208
Qwen2-0.5B-Instruct -> Qwen3-4B-Instruct-2507,qwen,Qwen2-0.5B-Instruct,Qwen3-4B-Instruct-2507,qwen2,qwen3,0.5,4.0,strict_sub_4b,boundary_4b,3008,0.129987,0.48238,0.352393,0.331449,0.37367,2617,1557,1379,1238,178,0.411569,0.059176,0.493381,0.506619,0.470745,0.0,business:+0.537; math:+0.484; economics:+0.441; physics:+0.414; chemistry:+0.407,law:+0.038; history:+0.182; engineering:+0.185; health:+0.283; psychology:+0.359
Qwen2.5-0.5B-Instruct -> Qwen3-4B-Instruct-2507,qwen,Qwen2.5-0.5B-Instruct,Qwen3-4B-Instruct-2507,qwen2.5,qwen3,0.5,4.0,strict_sub_4b,boundary_4b,3008,0.164561,0.48238,0.317819,0.295545,0.338098,2513,1557,1360,1153,197,0.383311,0.065492,0.501845,0.498155,0.448803,0.0,business:+0.447; math:+0.433; economics:+0.411; physics:+0.380; chemistry:+0.368,law:+0.068; history:+0.152; engineering:+0.157; other:+0.304; biology:+0.306
Qwen3-0.6B -> Qwen3.5-0.8B,qwen,Qwen3-0.6B,Qwen3.5-0.8B,qwen3,qwen3.5,0.6,0.8,strict_sub_4b,strict_sub_4b,3008,0.27992,0.330452,0.050532,0.032912,0.070811,2166,2014,1656,510,358,0.169548,0.119016,0.656101,0.343899,0.288564,2.8e-07,biology:+0.206; economics:+0.114; computer science:+0.104; chemistry:+0.083; psychology:+0.078,engineering:-0.028; math:-0.018; history:+0.010; business:+0.011; physics:+0.015
Qwen3-0.6B -> Qwen3.5-2B,qwen,Qwen3-0.6B,Qwen3.5-2B,qwen3,qwen3.5,0.6,2.0,strict_sub_4b,strict_sub_4b,3008,0.27992,0.469082,0.189162,0.168883,0.210439,2166,1597,1367,799,230,0.265625,0.076463,0.570534,0.429466,0.342088,0.0,biology:+0.378; economics:+0.317; psychology:+0.282; computer science:+0.245; philosophy:+0.238,engineering:+0.028; history:+0.101; law:+0.129; math:+0.152; other:+0.161
Qwen3-0.6B -> Qwen2.5-3B-Instruct,qwen,Qwen3-0.6B,Qwen2.5-3B-Instruct,qwen3,qwen2.5,0.6,3.0,strict_sub_4b,strict_sub_4b,3008,0.27992,0.442154,0.162234,0.143949,0.181848,2166,1678,1422,744,256,0.24734,0.085106,0.587118,0.412882,0.332447,0.0,biology:+0.294; health:+0.258; economics:+0.243; other:+0.222; psychology:+0.184,engineering:+0.048; law:+0.099; computer science:+0.113; chemistry:+0.126; philosophy:+0.135
Qwen3-0.6B -> Qwen3-4B-Instruct-2507,qwen,Qwen3-0.6B,Qwen3-4B-Instruct-2507,qwen3,qwen3,0.6,4.0,strict_sub_4b,boundary_4b,3008,0.27992,0.48238,0.20246,0.183511,0.223404,2166,1557,1343,823,214,0.273604,0.071144,0.564286,0.435714,0.344747,0.0,philosophy:+0.325; economics:+0.277; other:+0.274; computer science:+0.245; chemistry:+0.235,law:+0.068; engineering:+0.072; history:+0.141; psychology:+0.184; physics:+0.198
Qwen3.5-0.8B -> Qwen3.5-2B,qwen,Qwen3.5-0.8B,Qwen3.5-2B,qwen3.5,qwen3.5,0.8,2.0,strict_sub_4b,strict_sub_4b,3008,0.330452,0.469082,0.13863,0.118351,0.15758,2014,1597,1347,667,250,0.221742,0.083112,0.594965,0.405035,0.304854,0.0,psychology:+0.204; economics:+0.203; biology:+0.172; math:+0.170; philosophy:+0.167,engineering:+0.056; law:+0.072; history:+0.091; health:+0.101; chemistry:+0.116
Qwen3.5-0.8B -> Qwen2.5-3B-Instruct,qwen,Qwen3.5-0.8B,Qwen2.5-3B-Instruct,qwen3.5,qwen2.5,0.8,3.0,strict_sub_4b,strict_sub_4b,3008,0.330452,0.442154,0.111702,0.092753,0.132314,2014,1678,1356,658,322,0.21875,0.107048,0.580479,0.419521,0.325798,0.0,other:+0.191; health:+0.187; math:+0.170; business:+0.144; history:+0.141,computer science:+0.009; law:+0.042; chemistry:+0.043; philosophy:+0.063; engineering:+0.076
Qwen3.5-0.8B -> Qwen3-4B-Instruct-2507,qwen,Qwen3.5-0.8B,Qwen3-4B-Instruct-2507,qwen3.5,qwen3,0.8,4.0,strict_sub_4b,boundary_4b,3008,0.330452,0.48238,0.151928,0.131316,0.17121,2014,1557,1262,752,295,0.25,0.098072,0.546557,0.453443,0.348072,0.0,philosophy:+0.254; math:+0.245; other:+0.243; business:+0.218; physics:+0.182,law:+0.011; biology:+0.022; engineering:+0.100; psychology:+0.107; health:+0.131
Qwen3.5-2B -> Qwen2.5-3B-Instruct,qwen,Qwen3.5-2B,Qwen2.5-3B-Instruct,qwen3.5,qwen2.5,2.0,3.0,strict_sub_4b,strict_sub_4b,3008,0.469082,0.442154,-0.026928,-0.04621,-0.006649,1597,1678,1164,433,514,0.143949,0.170878,0.551397,0.448603,0.314827,0.00929603,health:+0.086; other:+0.061; history:+0.051; engineering:+0.020; math:+0.000,computer science:-0.132; philosophy:-0.103; psychology:-0.097; biology:-0.083; economics:-0.074
Qwen3.5-2B -> Qwen3-4B-Instruct-2507,qwen,Qwen3.5-2B,Qwen3-4B-Instruct-2507,qwen3.5,qwen3,2.0,4.0,strict_sub_4b,boundary_4b,3008,0.469082,0.48238,0.013298,-0.007646,0.033245,1597,1557,1139,458,418,0.152261,0.138963,0.565261,0.434739,0.291223,0.18757728,other:+0.113; philosophy:+0.087; math:+0.075; business:+0.059; engineering:+0.044,biology:-0.150; psychology:-0.097; law:-0.061; economics:-0.040; computer science:+0.000
Qwen2.5-3B-Instruct -> Qwen3-4B-Instruct-2507,qwen,Qwen2.5-3B-Instruct,Qwen3-4B-Instruct-2507,qwen2.5,qwen3,3.0,4.0,strict_sub_4b,boundary_4b,3008,0.442154,0.48238,0.040226,0.018949,0.059176,1678,1557,1129,549,428,0.182513,0.142287,0.536087,0.463913,0.324801,0.00012121,philosophy:+0.190; computer science:+0.132; chemistry:+0.109; math:+0.075; business:+0.074,biology:-0.067; health:-0.056; law:-0.030; history:-0.010; psychology:+0.000
